player_id,source_name,canonical_name,canonical_name_key,source_position_id,canonical_position
1366,Buccaneers D/ST,buccaneers d/st,buccaneers d/st,8006.0,DEF
1367,Tank Bigsby,tank bigsby,tank bigsby,8003.0,RB
1368,Tarik Cohen,tarik cohen,tarik cohen,8003.0,RB
1369,Taysom Hill,taysom hill,taysom hill,8002.0,QB
1370,Taywan Taylor,taywan taylor,taywan taylor,8004.0,WR
1371,Teddy Bridgewater,teddy bridgewater,teddy bridgewater,8002.0,QB
1372,Tee Higgins,tee higgins,tee higgins,8004.0,WR
1373,Tennessee Titans,tennessee titans,tennessee titans,8006.0,DEF
1374,Terry McLaurin,terry mclaurin,terry mclaurin,8004.0,WR
1375,Tevin Coleman,tevin coleman,tevin coleman,8003.0,RB
1376,Theo Riddick,theo riddick,theo riddick,8003.0,RB
1377,Todd Gurley,todd gurley,todd gurley,8003.0,RB
1378,Tom Brady,tom brady,tom brady,8002.0,QB
1379,Tony Pollard,tony pollard,tony pollard,8003.0,RB
1380,Travis Etienne,travis etienne,travis etienne,8003.0,RB
1381,Travis Kelce,travis kelce,travis kelce,8005.0,TE
1382,Tre'Quan Smith,trequan smith,trequan smith,8004.0,WR
1383,Trent Taylor,trent taylor,trent taylor,8004.0,WR
1384,Trevor Lawrence,trevor lawrence,trevor lawrence,8002.0,QB
1385,Trey Burton,trey burton,trey burton,8005.0,TE
1386,Trey Lance,trey lance,trey lance,8002.0,QB
1387,Trey Sermon,trey sermon,trey sermon,8003.0,RB
1388,Treylon Burks,treylon burks,treylon burks,8004.0,WR
1389,Tua Tagovailoa,tua tagovailoa,tua tagovailoa,8002.0,QB
1390,Ty Montgomery,ty montgomery,ty montgomery,8003.0,RB
1391,Tyler Boyd,tyler boyd,tyler boyd,8004.0,WR
1392,Tyler Higbee,tyler higbee,tyler higbee,8005.0,TE
1393,Tyler Lockett,tyler lockett,tyler lockett,8004.0,WR
1394,Tyreek Hill,tyreek hill,tyreek hill,8004.0,WR
1395,Tyrell Williams,tyrell williams,tyrell williams,8004.0,WR
1396,Tyrod Taylor,tyrod taylor,tyrod taylor,8002.0,QB
1397,Vance McDonald,vance mcdonald,vance mcdonald,8005.0,TE
1398,Washington Commanders,washington commanders,washington commanders,8006.0,DEF
1400,Wil Lutz,wil lutz,wil lutz,8099.0,K
1401,Will Fuller,will fuller,will fuller,8004.0,WR
1402,Xavier Jones,xavier jones,xavier jones,8003.0,RB
1403,Zach Charbonnet,zach charbonnet,zach charbonnet,8003.0,RB
1404,Zach Ertz,zach ertz,zach ertz,8005.0,TE
1405,Zach Wilson,zach wilson,zach wilson,8002.0,QB
1406,Zack Moss,zack moss,zack moss,8003.0,RB
1407,Zay Flowers,zay flowers,zay flowers,8004.0,WR
1408,Marvin Harrison Jr.,marvin harrison,marvin harrison,8004.0,WR
1409,A.T. Perry,at perry,at perry,8005.0,TE
1410,Adonai Mitchell,adonai mitchell,adonai mitchell,8004.0,WR
1411,Aidan O'Connell,aidan oconnell,aidan oconnell,8002.0,QB
1412,Ainias Smith,ainias smith,ainias smith,8099.0,K
1413,Alec Ingold,alec ingold,alec ingold,8004.0,WR
1414,Alec Pierce,alec pierce,alec pierce,8004.0,WR
1415,Ameer Abdullah,ameer abdullah,ameer abdullah,8003.0,RB
1416,Anders Carlson,anders carlson,anders carlson,,UNKNOWN
1417,Andrei Iosivas,andrei iosivas,andrei iosivas,8005.0,TE
1418,Arizona Cardinals,arizona cardinals,arizona cardinals,8006.0,DEF
1419,Atlanta Falcons,atlanta falcons,atlanta falcons,8006.0,DEF
1420,Audric Estimé,audric estimé,audric estimé,8004.0,WR
1421,Ben Sinnott,ben sinnott,ben sinnott,8004.0,WR
1422,Blake Corum,blake corum,blake corum,8005.0,TE
1423,Blake Grupe,blake grupe,blake grupe,,UNKNOWN
